Game,Platform,Release Date,Genres,Rating,Average Hours,Minimum PC Requirements,Developer,Image Link
The Secret World,PC,2012-07-03,Massively Multiplayer,0.0,22.42,Minimum:OS: Windows XP (SP 1) / Vista (SP 1) / Windows 7 (SP 1)Processor: 2.6 GHZ Intel Core 2 DUO or equivalent AMD CPUMemory: At least 2GB RAM for Windows XP / 3GB Ram for Windows Vista and Windows 7Hard Disk Space: At least 30GB of free spaceVideo Card: nVidia 8800 series 512 VRAM or better/Radeon HD3850 512MB or betterDirectX(r): 9.0cSound: DirectX 9.0c compatible sound cardAdditional: Requires account registration (free) with the developer. 30 days of free Membership is included.,Funcom,//upload.wikimedia.org/wikipedia/en/thumb/0/02/Secret_World_cover.jpg/220px-Secret_World_cover.jpg
Max Payne 3,PC,2012-05-15,Shooter,4.24,20.88,OS: Windows 7 32/64 Service Pack 1 Windows Vista 32/64 Service Pack 2 Windows XP 32/64 Service Pack 3Processor: Intel Dual Core 2.4 GHZ -  i7 3930K 6 Core  x 3.06 GHZ / AMD Dual Core 2.6 GHZ - FX8150 8 Core x 3.6 GHZMemory: 2GB - 16GBHard Disk Space: 35 GigsVideo Card:  NVIDIA(r) 8600 GT 512MB VRAM - NVIDIA(r) GeForce(r) GTX 680 2GB VRAM / Radeon HD 3400 512MB VRAM - Radeon HD 7970 3GB VRAMSound Card: 100% Direct X 9.0 compatible - Direct X 9.0 compatible supporting Dolby Digital LiveAdditional:Please refer to your hardware manufacturer and http://support.rockstargames.com/home for current compatibility information. Some system components such as mobile chipsets                              Integrated and AGP graphics cards may be incompatible.  Unlisted specifications may not be supported by publisher.Other Requirements: Initial activation requires internet connection and a valid Rockstar Social Club account (13+ to register); Online play requires log-in to Rockstar Social Club (13+); software installation required including GameShield IronWrap; DirectX and Microsoft Visual C++ 2008 SP1 Redistributable Package (x86).,Rockstar Studios,//upload.wikimedia.org/wikipedia/en/thumb/2/21/Max_Payne_3_Cover.jpg/220px-Max_Payne_3_Cover.jpg
Grand Theft Auto IV,PC,2008-04-29,Adventure,4.24,20.74,OS: Windows Vista - Service Pack 1 / Windows XP - Service Pack 3                    Processor: Intel Core 2 Duo 1.8GHz AMD Athlon X2 64 2.4GHz                    Memory: 1.5GB XP / 1.5GB Vista                    Graphics: 256MB Nvidia 7900 / 256MB ATI X1900                    DirectX Version: DirectX 9.0c Compliant Card                     Hard Drive: 16GB of Hard Disc Space                     Sound Card: 5.1 Channel Audio Card                     Other Requirements: Initial activation requires internet connection; Online play requires log-in to Games For Windows - Live and Rockstar Games Social Club (13+ to register); software installations required including Adobe Flash DirectX Microsofts .NET Framework 3.0 Games For Windows - LIVE and Internet Explorer.,Rockstar North,//upload.wikimedia.org/wikipedia/en/thumb/b/b7/Grand_Theft_Auto_IV_cover.jpg/220px-Grand_Theft_Auto_IV_cover.jpg
Portal 2,PC,2011-04-18,Shooter,4.62,20.13,Minimum:OS: Windows 7 / Vista / XPProcessor: 3.0 GHz P4 Dual Core 2.0 (or higher) or AMD64X2 (or higher)Memory: 2 GB RAMGraphics: Video card must be 128 MB or more and with support for Pixel Shader 2.0b (ATI Radeon X800 or higher / NVIDIA GeForce 7600 or higher / Intel HD Graphics 2000 or higher).DirectX: Version 9.0cStorage: 8 GB available spaceSound Card: DirectX 9.0c compatible,Valve,//upload.wikimedia.org/wikipedia/en/thumb/f/f9/Portal2cover.jpg/220px-Portal2cover.jpg
Portal 2,PC,2011-04-18,Shooter,4.62,20.13,Minimum:OS: Windows 7 / Vista / XPProcessor: 3.0 GHz P4 Dual Core 2.0 (or higher) or AMD64X2 (or higher)Memory: 2 GB RAMGraphics: Video card must be 128 MB or more and with support for Pixel Shader 2.0b (ATI Radeon X800 or higher / NVIDIA GeForce 7600 or higher / Intel HD Graphics 2000 or higher).DirectX: Version 9.0cStorage: 8 GB available spaceSound Card: DirectX 9.0c compatible,Valve,//upload.wikimedia.org/wikipedia/en/thumb/f/f9/Portal2cover.jpg/220px-Portal2cover.jpg
Portal 2,PC,2011-04-18,Shooter,4.62,20.13,Minimum:OS: Windows 7 / Vista / XPProcessor: 3.0 GHz P4 Dual Core 2.0 (or higher) or AMD64X2 (or higher)Memory: 2 GB RAMGraphics: Video card must be 128 MB or more and with support for Pixel Shader 2.0b (ATI Radeon X800 or higher / NVIDIA GeForce 7600 or higher / Intel HD Graphics 2000 or higher).DirectX: Version 9.0cStorage: 8 GB available spaceSound Card: DirectX 9.0c compatible,Valve,//upload.wikimedia.org/wikipedia/en/thumb/f/f9/Portal2cover.jpg/220px-Portal2cover.jpg
Saints Row IV,PC,2013-08-20,Adventure,3.83,19.87,Minimum:OS: Windows Vista (x86 or x64)Processor: Intel Core 2 Quad Q6600 | AMD Athlon II x3Memory: 4 GB RAMGraphics: NVIDIA GTX 260 | AMD Radeon HD 5800 seriesDirectX: Version 10Storage: 10 GB available space,Volition,//upload.wikimedia.org/wikipedia/en/thumb/5/5d/SaintsRowIV.jpg/220px-SaintsRowIV.jpg
Dishonored,PC,2012-09-25,Shooter,4.36,19.6,Minimum:OS: Windows Vista / Windows 7Processor: 3.0 GHz dual core or betterMemory: 3 GB system RAMHard Disk Space: 9 GBVideo Card: DirectX 9 compatible with 512 MB video RAM or better (NVIDIA GeForce GTX 460 / ATI Radeon HD 5850)Sound: Windows compatible sound card,Arkane Studios,//upload.wikimedia.org/wikipedia/en/thumb/6/65/Dishonored_box_art_Bethesda.jpg/220px-Dishonored_box_art_Bethesda.jpg
Tropico 5,PC,2014-05-22,Strategy,3.64,19.46,Minimum:OS: Windows Vista SP2 Windows 7 Windows 8Processor: 2 GHz Dual Core CPUMemory: 4 GB RAMGraphics: GeForce 400 or higher AMD Radeon HD 4000 or higher Intel HD 4000 or higher (DirectX 11 hardware support required)DirectX: Version 11Storage: 4 GB available spaceSound Card: DirectX compatible,Haemimont Games,//upload.wikimedia.org/wikipedia/en/thumb/9/99/Tropico_5_cover.jpg/220px-Tropico_5_cover.jpg
Lost Horizon,PC,2010-08-20,Family,3.62,18.63,OS: Windows® XP/Vista(tm)/Windows 7™Processor: Pentium IV 2 GHz Single Core or 100 % compatible CPUMemory: 512 MB RAMGraphics: DirectX® 9-compatible AGP or PCI Express 64 MB video card or betterDirectX®: DirectX® 9Hard Drive: 4.5 GB of free hard disk spaceSound: DirectX® 9-compatible 16-bit sound card (optional),James Hilton,//upload.wikimedia.org/wikipedia/en/9/93/Lost_Horizon_%28James_Hilton_novel%29_coverart.jpg
Just Cause 2,PC,2010-03-23,Shooter,3.61,18.59,Minimum:OS: Microsoft Windows Vista (Windows XP is unsupported)Processor: Dual-core CPU with SSE3 (Athlon 64 X2 4200 / Pentium D 3GHz)Memory: 2GB System MemoryHard Drive: 10GB of free drive spaceGraphics: DX10 compatible graphics card with 256 MB of memory(Nvidia GeForce 8800 series/ ATI Radeon HD 2600 Pro)Sound: 100% DirectX 10 compatible sound cardDirectX(r): Microsoft DirectX 10,Avalanche Studios,//upload.wikimedia.org/wikipedia/en/thumb/3/3b/Just_Cause_2.jpg/220px-Just_Cause_2.jpg
Fallout 3,PC,2008-10-28,Shooter,4.09,18.15,Minimum:                    Operating system: Windows XP/Vista                    Processor: 2.4 Ghz Intel Pentium 4 or equivalent processor                     Memory: 1 GB (XP)/ 2 GB (Vista)                    Hard disk space: 7 GB                    Video: Direct X 9.0c compliant video card with 256MB RAM (NVIDIA 6800 or better/ATI X850 or better)                     Sound: DirectX(r): 9.0c                    Controller support:  Xbox 360 controller                    Other Requirements: Online play requires log-in to Games For Windows - Live                    Supported Video Card Chipsets:                     NVIDIA GeForce 200 series Geforce 9800 series Geforce 9600 series Geforce 8800 series Geforce 8600 series Geforce 8500 series Geforce 8400 series Geforce 7900 series Geforce 7800 series Geforce 7600 series Geforce 7300 series GeForce 6800 series                    ATI HD 4800 series HD 4600 series HD 3800 series HD 3600 series HD 3400 series HD 2900 series HD 2600 series HD 2400 series X1900 series X1800 series X1600 series X1300 series X850 series,Bethesda Game Studios,//upload.wikimedia.org/wikipedia/en/thumb/8/83/Fallout_3_cover_art.PNG/220px-Fallout_3_cover_art.PNG
BioShock Infinite,PC,2013-03-26,Shooter,4.39,17.4,Minimum:OS: Windows Vista Service Pack 2 32-bitProcessor: Intel Core 2 DUO 2.4 GHz / AMD Athlon X2 2.7 GHzMemory: 2GBHard Disk Space: 20 GB freeVideo Card: DirectX10 Compatible ATI Radeon HD 3870 / NVIDIA 8800 GT / Intel HD 3000 Integrated GraphicsVideo Card Memory: 512 MBSound: DirectX Compatible,Irrational Games,//upload.wikimedia.org/wikipedia/en/thumb/a/a3/Official_cover_art_for_Bioshock_Infinite.jpg/220px-Official_cover_art_for_Bioshock_Infinite.jpg
