Game,Minimum PC Requirements,Average Hours,Platform
Fallout 3,Minimum:                    Operating system: Windows XP/Vista                    Processor: 2.4 Ghz Intel Pentium 4 or equivalent processor                     Memory: 1 GB (XP)/ 2 GB (Vista)                    Hard disk space: 7 GB                    Video: Direct X 9.0c compliant video card with 256MB RAM (NVIDIA 6800 or better/ATI X850 or better)                     Sound: DirectX(r): 9.0c                    Controller support:  Xbox 360 controller                    Other Requirements: Online play requires log-in to Games For Windows - Live                    Supported Video Card Chipsets:                     NVIDIA GeForce 200 series Geforce 9800 series Geforce 9600 series Geforce 8800 series Geforce 8600 series Geforce 8500 series Geforce 8400 series Geforce 7900 series Geforce 7800 series Geforce 7600 series Geforce 7300 series GeForce 6800 series                    ATI HD 4800 series HD 4600 series HD 3800 series HD 3600 series HD 3400 series HD 2900 series HD 2600 series HD 2400 series X1900 series X1800 series X1600 series X1300 series X850 series,18.15,PC
BioShock Infinite,Minimum:OS: Windows Vista Service Pack 2 32-bitProcessor: Intel Core 2 DUO 2.4 GHz / AMD Athlon X2 2.7 GHzMemory: 2GBHard Disk Space: 20 GB freeVideo Card: DirectX10 Compatible ATI Radeon HD 3870 / NVIDIA 8800 GT / Intel HD 3000 Integrated GraphicsVideo Card Memory: 512 MBSound: DirectX Compatible,17.4,PC
Evil Genius,Supported OS: Microsoft Windows XP / Vista                    Processor: Pentium(r) III 800MHz processor                    Memory: 128MB RAM                    Graphics: GeForce2 16Mb or equivalent                     Hard Drive: 1.4 GB of free hard drive space                    Sound Card: Windows compatible sound cardDirectX9(r): DirectX 9.0c,16.79,PC
GRID 2,Minimum OS: Windows Vista Windows 7 Windows 8                Processor: Intel Core 2 Duo @ 2.4Ghz or AMD Athlon X2 5400+                Memory: 2 GB RAM                Hard Disk Space: 15 GB HD space                                Video Card: Intel HD Graphics 3000 / AMD HD2600 / NVIDIA Geforce 8600                DirectX(r): 11                Sound: Direct X compatible soundcard                Additional: Broadband Internet connection                   Additional Supported Graphics Cards: Intel HD Graphics 3000 Intel HD Graphics 4000 Intel Graphics 5200.AMD Radeon HD2600 or higher HD3650 or higher HD4550 or higher HD5000 Series HD6000 Series HD7000 Series.NVIDIA GeForce 8600 or higher 9500 or higher GTX220 or higher GTX400 Series GTX500 Series GTX600 Series: AMD Fusion A8 or higher.,16.56,PC
Supreme Commander,Recommended:OS: Windows(r) XP Service Pack 2 Windows(r) VistaProcessor: 3.0 GHz Intel or equivalent AMD processor or betterMemory: 1 GB RAM or betterHard Disk Space: 8GB available hard drive spaceVideo Card: 256 MB video RAM with DirectX 9 Vertex Shader / Pixel Shader 2.0 support (Nvidia 6800 or better),16.35,PC
F1 2011,Minimum:OS: Windows XP/Vista/7Processor: Intel Core 2 Duo @ 2.4Ghz or AMD Athlon X2 5400+Memory: 2GB RamGraphics: GeForce 7800/Radeon X1800 or higherDirectX(r): DirectX 9.0cHard Drive:12.5 GB HD spaceSound: DirectX Compatible Soundcard or onboard audioOther Requirements: Online play requires log-in to Games For Windows - Live. Click here for a list of countries/regions with service.Network Requirements:Broadband internet connection required (512kbps+ recommended)TCP/IP NetworkSupported Graphics Cards:ATI Radeon x1800 x1900 x1950 HD2400 HD2600 HD2900 HD3XXX Series HD4XXX Series HD5XXX Series HD6XXX SeriesNVIDIA Geforce 7800 7900 7950 7950Gx2 8400 8600 8800 9600 9800 9800Gx2 GeForce 210 GT220 GTS250 GTX2XX Series GTX4XX Series GTX5XX SeriesNot compatible with all integrated sound/graphics solutions (inc. laptops).,15.74,PC
Tomb Raider,Minimum:OS:Windows XP Service Pack 3 Windows Vista78 (32bit/64bit)Processor:Dual core CPU: AMD Athlon64 X2 2.1 Ghz (4050+) Intel Core2 Duo 1.86 Ghz (E6300)Memory:1GB Memory (2GB on Vista)Graphics:DirectX 9 graphics card with 512Mb Video RAM: AMD Radeon HD 2600 XT nVidia 8600DirectX(r):9.0cHard Drive:12 GB HD spaceOther Requirements:Broadband Internet connection,15.61,PC
Ship Simulator Extremes,OS: Windows XP (Min. service pack 2) Windows Vista or Windows 7. 32 and 64 bits OS supportedProcessor: 3 Ghz P4 Intel or AMD equivalent processorMemory: 2GB (Windows XP) or 3GB (Vista or Windows 7)Hard Disk Space: 3.5 GBVideo Card: Geforce 8800GT or ATI Radeon 4850 with 256MB ram (At least Shader model 3.0)Sound: DirectX compatibleDirectX(r): 9.0c,15.43,PC
Defiance,Minimum:OS: Windows XP SP2Processor: Intel Core 2 Duo 2.0 GHz CPU or betterMemory: 2 GB System RAMGraphics: 512MB video card (NVIDIA GeForce 8600 ATI Radeon HD 2900 or Intel HD 4000 integrated graphics or better)DirectX(r): 9.0cHard Drive: 15 GB free hard drive spaceSound: DirectX 8.1 compatible sound cardInternet: Broadband internet connection,15.42,PC
4 Elements,Minimum:OS: Windows 98/ME/NT/2000/XP/VistaProcessor: 1GHz or betterMemory: 256+ MBGraphics: 64 MB/16-bit Graphics CardDirectX(r): DirectX 8.0 or higherHard Drive: 62+ MB Space FreeSound: 16-bit Sound card,14.85,PC
Project CARS,Minimum:OS: Windows Vista Windows 7 with latest Service PacksProcessor: 2.66 GHz Intel Core 2 Quad Q8400 3.0 GHz AMD Phenom II X4 940Memory: 4 GB RAMGraphics: nVidia GTX 260 ATI Radeon HD 5770DirectX: Version 9.0Network: Broadband Internet connectionStorage: 25 GB available spaceSound Card: DirectX compatible sound cardAdditional Notes: For racing wheel support check:  http://www.projectcarsgame.com/beyond-reality.html,14.13,PC
Two Worlds II,OS: Windows XP SP3 Windows Vista Windows 7Processor: Intel or AMD Single-Core Prozessor (20 GHz) or betterMemory: 2 GB or moreGraphics: Radeon HD Geforce 8800GT (Shader 3.0 and 512 MB RAM)DirectX(r): DirectX 9.0c or OpenGLHard Drive: 8 GBSound:  DirectX comp. Stereo Sound CardOther: Internet connection with 6.000 BPS or more for Multiplayer recommended,14.0,PC
Risen,OS: Windows XP(tm) (with Service Pack 3)Processor:  2 GHz Intel(r) Pentium(tm) 4 Single-core ProcessorMemory:  1 GB RAMGraphics: 256 MB DirectX(tm) 9.0c compatible graphics card (nVidia(r) GeForce(r) 7900/ATI Radeon(tm) X1800 or better)DirectX(r): DirectX(tm) 9.0c compatible graphic card driverHard Drive: 2.5 GB free Hard Drive spaceSound:  100% DirectX(tm) 9.0c compatible sound cardController Support:  Keyboard Mouse,13.47,PC
Homefront,MinimumOS: Windows XP Windows Vista or Windows 7Processor: Intel Pentium Core 2 Duo 2.4 GHz or AMD Athlon X2 2.8GHzMemory: 2 GB RAM Graphics: Shader Model 3.0 graphics card with 256MB of memory NVIDIA GeForce 7900GS or ATI Radeon 1900XTDirectX(r): Hard Drive: 10GB of free hard drive space Sound:,13.24,PC
Demigod,Minimum:OS:Windows 10 / 8 / 7 / Vista SP1 / XP SP3Processor:2.4 GHz ProcessorMemory:512 MB RAMGraphics:128 MB DirectX 9.0c 3D Video CardDirectX(r):dx90cHard Drive:8 GB HD spaceSound:DirectX 9.0c CompatibleOther Requirements:Broadband Internet connection also to activate this game you must create a Stardock account while launching the game on Steam.,13.09,PC
Game of Thrones,OS: WINDOWS XP SP3/WINDOWS VISTA SP2/WINDOWS 7Processor: AMD/INTEL DUAL-CORE 2.2 GHZMemory: 2048 MBGraphics: 256 MB 100% DIRECTX 9 AND SHADERS 3.0 COMPATIBLE.  ATI RADEON HD 2600 XT/NVIDIA GEFORCE 7900 GTX OR HIGHERDirectX(r): 9Hard Drive: 7 GBSound: DIRECTX 9 COMPATIBLEInternet: INTERNET CONNECTION REQUIRED THE GAME ACTIVATION,12.68,PC
Gray Matter,Minimum:OS: Windows XP/Windows Vista/Windows 7/Windows 8Processor: 1.8 GHz Processor or fasterMemory: 1 GB RAMGraphics: DirectX 9.0 compatible 256 MB Graphics Card with Shader 2.0DirectX: Version 9.0Storage: 6 GB available space,12.6,PC
Alan Wake,Minimum:OS: Windows XP SP2Processor: Dual Core 2GHz Intel or 2.8GHz AMDMemory: 2 GB RAMGraphics: DirectX 10 compatible with 512MB RAMDirectX(r): 9.0cHard Drive: 8 GB HD spaceSound: DirectX 9.0c compatible,11.88,PC
Overlord II,OS:Windows XP SP2+Processor: Pentium 4 3.0Ghz/Athlon 64bit 3000+Memory: 1GBGraphics: GeForce 6800+/ATI X1600+ with 256MBDirectX(r): DirectX 9.0cHard Drive: 5GBSound: DirectX Compatible Sound CardMultiplayer is no longer available,11.08,PC
Homeworld Remastered Collection,Minimum:OS: Windows VistaProcessor: 2.2GHz Dual Core ProcessorMemory: 1 GB RAMGraphics: NVIDIA GeForce 8800 GTS (512MB) / ATI Radeon HD4800 (512MB)Storage: 20 GB available spaceAdditional Notes: * Game engine uses OpenGL3.3 It is important that you get the latest drivers for your video card to ensure compatibility with this product.,11.05,PC
Magicka,OS: Windows XP/Vista/7 (32- or 64-bit)Processor: Intel(r) Pentium(r) IV 2.4 GHz or AMD 3500+Memory: 2 GB RAMHard Disk Space: 2 GB Available SpaceVideo Card: NVIDIA(r) GeForce 8800 or ATI Radeon(r) X1900 (Integrated Video Cards not recommended)DirectX(r): DirectX 9Sound: DirectX-compatible sound cardAdditional: 3-button mouse keyboard and speakers. DSL Internet connection for multiplayer. .NET 3.5 required,10.64,PC
DiRT Rally,Minimum:OS: 64bit Versions of Windows 7 Windows 8 Windows 10Processor: AMD FX Series or Intel Core i3 SeriesMemory: 4 GB RAMGraphics: AMD HD5450 or Nvidia GT430 or Intel HD4000 with 1GB of VRAM (DirectX 11 graphics card required)DirectX: Version 11Storage: 50 GB available spaceSound Card: DirectX Compatible soundcardAdditional Notes: Supported Graphics Cards: AMD HD5000 Series HD6000 Series HD7000 Series R7 Series R9 Series Nvidia GTX400 Series GTX500 Series GTX600 Series GTX700 Series GTX900 Series Intel HD4000 Series HD5000 Series,10.54,PC
Rugby League Team Manager 2015,Minimum:OS: Windows  XP/Vista/7/8/10Processor: 1 GHzGraphics: 2D or 3D AcceleratorDirectX: Version 9.0cStorage: 4 GB available spaceSound Card: 9.0c compatible audio card DirectX(r): 9.0cAdditional Notes: 1024 x 768 or 1024 x 600 24-bit colour Display,10.25,PC
War for the Overworld,Minimum:OS: Windows 7  Windows 8  Windows 10Processor: Dual Core CPU @ 2.0GHzMemory: 4 GB RAMGraphics: Nvidia GT400 series with 512MB RAM or better ATI 4870HD with 512MB RAM or betterHard Drive: 7 GB available space (may increase in the future)Sound: Speakers or headphones,10.15,PC
The Book of Unwritten Tales,Minimum:OS:Windows XP SP 3 (32bit) / Vista SP 2 / Windows 7 SP 1 Processor:Pentium IV 2 GHz / Athlon 2.4 GHz Memory:2 GB RAMGraphics:Direct-X 9c compliant video card with 128 MB RAM PixelShader 2.0 DirectX(r):9.0cHard Drive:6 GB HD space,9.96,PC
Guild Wars Trilogy,Minimum                    Operating System: Microsoft(r) Windows(r) 2000/XP                    Processor: Intel(r) Pentium(r) III 1.0 GHz or equivalent                    Memory: 512 MB RAM                    Hard Disk Space: 3 GB Available HDD Space                    Video Card: ATI(r) Radeon(r) 8500 or NVIDIA(r) GeForce(tm) 3 Series Video Card with 64MB of VRAM                    Sound Card: 16-bit Sound Card                    Internet Connection: 56k Internet connection,9.9,PC
Company of Heroes,Minimum:                    OS: Windows(r) XP or Vista                    Processor: 2.0 Ghz Intel Pentium IV or equivalent or AMD Athlon XP or equivalent                    Memory: 512 MB RAM                    Graphics: DirectX 9.0c compatible 64MB video card with Pixel Shader 1.1 support or equivalent and latest manufacturer drivers                    Hard Drive: 9 GB of uncompressed free hard drive space (We recommend having 1 gigabyte of free space after installation)                    Sound: DirectX(r) 9.0c compatible 16-bit sound card                    Required for Multiplayer: Broadband internet connection and latest drivers.* Supported Video Cards: NVIDIA: NVIDIA GeForce 3 series or better with latest manufacturer drivers (excluding the GeForce 4 MX series) ATI: ATI Radeon 9500 series or better with latest manufacturer drivers                    Internet connection required for play,9.84,PC
Duke Nukem Forever,Minimum:OS: Windows XP/Vista/7Processor: Intel Core 2 Duo @ 2.0 Ghz / AMD Athlon 64 X2 @ 2.0 GhzMemory: 1 GbHard Disk Space: 10 Gb freeVideo Memory: 256 MBVideo Card: nVidia GeForce 7600 / ATI Radeon HD 2600Sound Card: DirectX CompatibleOTHER REQUIREMENTS & SUPPORTS: Initial installations required (included with the game) are Microsoft DirectX Visual C++ 2005 Redistributable (ATL) Visual C++ 2008 Redistributable and AMD Dual Core Optimizer. (AMD optimizer required only for specific AMD processors to run the game correctly but installs for all of them.)OTHER REQUIREMENTS & SUPPORTS: Does not support Windows XP 64,9.82,PC
F1 2014,Minimum:OS: Windows Vista Windows 7 or Windows 8Processor: Intel Core 2 Duo @ 2.4Ghz or AMD Athlon X2 5400+Memory: 2 GB RAMGraphics: AMD HD2600 or NVIDIA Geforce 8600Network: Broadband Internet connectionStorage: 10 GB available spaceSound Card: DirectX Compatible soundcardAdditional Notes: Supported Graphics Cards: *AMD Radeon HD2600 or higher HD3650 or higher HD4550 or higher HD5000 Series HD6000 Series HD7000 Series R7 Series and R9 Series. *nVidia GeForce 8600 or higher 9500 or higher GTX220 or higher GTX400 Series GTX500 Series GTX600 Series GTX700 Series. Intel HD Graphics 3000 or higher AMD Fusion A8 or higher.,9.22,PC
Metro 2033,Minimum:OS: Windows XP Vista or 7Processor: Dual core CPU (any Core 2 Duo or better)Memory: 1GB RAMGraphics: DirectX 9 Shader Model 3 compliant graphics cards (GeForce 8800 GeForce GT220 and above)DirectX(r): DirectX 9.0cEnabling 3D Vision:Metro 2033 utilizes NVIDIA 3D Vision with compatible cards and hardware. To play Metro 2033 in 3D you will require:NVIDIA GeForce GTX 275 and above recommended A 120Hz (or above) monitorNVIDIA 3D Vision kit Microsoft Windows Vista or Windows 7,8.95,PC
GRID Autosport,Minimum:OS: Windows Vista Windows 7 or Windows 8Processor: Intel Core 2 Duo @ 2.4Ghz or AMD Athlon X2 5400+Memory: 2 GB RAMGraphics: Intel HD3000 or AMD HD2000 Series or NVIDIA Geforce 8000 Series SeriesNetwork: Broadband Internet connectionStorage: 15 GB available spaceSound Card: Direct X compatible soundcardAdditional Notes: Supported Graphics Cards  *Intel HD3000 Series HD4000 Series HD5000 Series *AMD Radeon HD2000 Series HD3000 Series HD4000 Series HD5000 Series HD6000 Series HD7000 Series R7 Series R9 Series *NVIDIA GeForce 8000 Series 9000 Series GTX200 Series GTX400 Series GTX500 Series GTX600 Series GTX700 Series *AMD Fusion A8 or higher,8.93,PC
Elven Legacy,Minimum                    Operating System: Microsoft(r) Windows(r) XP / Vista                    Processor: Intel(r) Pentium(r) IV 1.5 GHz or AMD(r) 2000+ (single core)                    Memory: 512 MB RAM                    Hard Disk Space: 3 GB Available HDD Space                    Video Card: NVIDIA(r) GeForce(tm) FX 5700 or ATI(tm) Radeon(r) 9600 and above Video Card                    Sound Card: DirectX-compatible Sound Card                    DirectX(r) Version: DirectX(r) Version 9.0c (4.09.0000.0904),8.6,PC
The Evil Within,Minimum:OS: 64-bit Windows 7 SP1/Windows 8.1Processor: i7 or an equivalent with four plus core processorMemory: 4 GB RAMGraphics: GTX 460 or equivalent 1 GB VRAM cardDirectX: Version 11Storage: 50 GB available spaceAdditional Notes: Its worth noting that the 50 GB of space required is for the PC install. When the installation is complete the game will take up ~41 GB of HDD space,8.55,PC
Clockwork Empires,Minimum:OS: Windows 7 Operating System of The Lower ClassesProcessor: Intel i5 Processor or Equivalent (The Little Scrapper model)Memory: 4 GB RAMGraphics: NVIDIA or AMD card capable of supporting OpenGL 3.2 Core or Above. INTEL HD3000 AND HD4000 GRAPHICS CARDS ARE NOT SUPPORTED.DirectX: Version 9.0Storage: 4 GB available spaceSound Card: Lord Palmerstokes Sound-Reproducing Old-Timey Wax Cylinder DriverAdditional Notes: INTEL HD3000 AND HD4000 GRAPHICS CARDS ARE NOT SUPPORTED. The Ministry for Video Game Drivers would like to remind you: true Patriots of the Empire always install their latest Graphics Card Drivers before Enjoying A Bracing Video Game lest the Blackness Consume Us All.,8.5,PC
The Night of the Rabbit,Minimum:OS:Windows Vista/7Processor:2.5 GHz (Single Core) or 2 GHz (Dual Core)Memory:2 GB RAMGraphics:OpenGL 2.0 compatible with 256 MB RAM (Shared Memory is not recommended)DirectX(r):9.0cHard Drive:6 GB HD spaceSound:DirectX compatible,8.4,PC
Front Mission Evolved,Minimum:OS: Windows XP Vista Windows 7Processor: Intel Pentium D 1.8 GHz or AMD Athlon 64 x2 1.8 GHzMemory: 1GB RAM (XP) 2GB RAM (Vista/7)Graphics: 512MB NVIDIA GeForce 7800 series graphics card or equivalentDirectX(r): 9.0cHard Drive: 11 GB Free SpaceSound: DirectX(r) 9.0c compatible sound card Controller Support: Mouse Keyboard Xbox 360 Controller,8.19,PC
LEGO The Lord of the Rings,OS: Microsoft(r) Windows(r) XP SP3 Vista or Windows(r) 7                 Processor: Dual Core CPU @ 2GHz (Pentium D or better)                Memory: 1GB RAM                Hard Disk Space: 8 GB free HDD space                Video Card: NVIDIA(r) 7600 7800 8800 GT or ATI Radeon(tm) HD 1950 or higher                 Sound: 16-bit Sound Card,7.95,PC
F.E.A.R. 3,Minimum:OS: Windows XPProcessor: Intel Core 2 Duo 2.4Ghz AMD Athlon X2 4800+Drive Space: 4.4GBRAM: 2GBVideo Card: NVIDIA 8800 GT 512MB RAM ATI 3850HD 512Mb RAM or betterDirectX(r): 9.0c,7.74,PC
The Testament of Sherlock Holmes,Minimum:OS:WINDOWS XP SP3/WINDOWS VISTA SP2/WINDOWS 7Processor:AMD/INTEL DUAL-CORE 2 GHZMemory:2048 MB RAMGraphics:256 MB 100% DIRECTX 9 AND SHADERS 3.0 COMPATIBLE ATI RADEON HD 2600 XT/NVIDIA GEFORCE 8600 GT OR HIGHERDirectX(r):9.0cHard Drive:14 GB HD spaceSound:DIRECTX 9 COMPATIBLE,7.52,PC
Take On Helicopters,Minimum:OS:Windows XPProcessor:Intel Dual-Core 2.4 GHz or AMD Dual-Core Athlon 2.5 GHz or fasterMemory:2 GB RAMGraphics:NVIDIA GeForce 8800GT or ATI Radeon 4850 with Shader Model 3 and 512 MB VRAM or fasterDirectX(r):dx90cHard Drive:20 GB HD spaceSound:DirectX 9.0c compatible audio-card,7.51,PC
Worms Reloaded,OS: Windows XP Vista 7Processor: 1.25GHz AMD Athlon or Intel equivalent Memory: 1GB Graphics: 128MB Video Card (GeForce4 or equivalent card)DirectX(r): DirectX(r) 9 or aboveHard Drive: 2063MBSound: DirectX(r) 9.0c-compliant sound cardOther Requirements: Internet connection required,7.43,PC
Blitzkrieg 2 Anthology,Minimum:OS: Windows 98/ME/2000/XPProcessor: 24GHz Pentium 4 / AthlonMemory: 512 MB RAMGraphics: 128 Mb Video card GeForce 4 / Radeon 9600DirectX: Version 9.0Storage: 2 GB available space,7.27,PC
The Darkness II,Minimum:OS: Windows XP/Vista/7Processor: Intel Core 2 @ 2GHz / AMD Athlon 64 X2 4200+Memory: 1.5GB RAM Hard Disk Space: 10GBVideo Card: 256MB NVIDIA GeForce 8600 / ATI Radeon HD 2600Sound: DirectX CompatibleAdditional: Requires installation of Visual C++ 2008 Redistributable DirectX and nVidia PhysX version 9.11.1107 (included with download),7.2,PC
Crysis,Minimum:Supported OS: Windows XP or Windows Vista***Processor: 2.8 GHz or faster (XP) or 3.2 GHz or faster* (Vista)Memory: 1.0 GB RAM (XP) or 1.5 GB RAM (Vista)Graphics: 256 MB**DirectX Version: DirectX 9.0c (included)Sound: DirectX 9.0c compatibleHard Drive: 12GB* Supported Processors: Intel Pentium 4 2.8 GHz (3.2 GHz for Vista) or faster Intel Core 2.0 GHz (2.2 GHz for Vista) or faster AMD Athlon 2800+ (3200+ for Vista) or faster.** Supported chipsets: NVIDIA GeForce 6800 GT or greater; ATI Radeon 9800 Pro (Radeon X800 Pro for Vista) or greater. Laptop versions of these chipsets may work but are not supported. Integrated chipsets are not supported. Updates to your video and sound card drivers may be required.*** Currently only the 32-bit version is available.,6.91,PC
Deponia,Minimum:OS:Windows Vista/7Processor:2.5 GHz (Single Core) or 2 GHz (Dual Core)Memory:2 GB RAMGraphics:OpenGL 2.0 compatible with 512 MB RAM (Shared Memory is not recommended)DirectX(r):9.0cHard Drive:5 GB HDD spaceSound:DirectX compatible,6.59,PC
Devil May Cry 4,Minimum:OS: Windows XP Service Pack 2Processor: Intel 4 Pentium processor or betterMemory: 512 MBGraphics: NVIDIA GeForce 6600 series or betterHard Drive: 8GB of free space,6.37,PC
Dungeon Siege III,Minimum: OS: Windows XP SP3 Vista SP1 Windows 7Processor: Core 2 Duo 2.5 GHz or equivalentMemory: 1.5 GBGraphics: ATI Radeon HD 3870 or NVIDIA 9800 GTDirectX(r): DirectX(r) 9.0cHard Drive: 4 GB for full installationSound: No accelerated sound hardware required,6.35,PC
Airline Tycoon 2,OS: Windows XP / Vista / 7Processor: 3 GHz Intel Pentium D / AMD Athlon 64 3000+Memory: 1 GBHard Disk Space: Video Card: Nvidia Geforce 8600 GT / ATI Radeon X 1800DirectX(r): 9.0cSound: DirectX-compatible,6.2,PC
Remember Me,Minimum:OS:Windows Vista(r)/XP Windows 7 Windows 8Processor:Intel(r) CoreTM2 Duo 2.4 Ghz or better AMD Athlon(tm) X2 2.8 Ghz or betterMemory:2 GB RAMGraphics:NVIDIA(r) GeForce(r) 8800GTS or better ATI Radeon(tm) HD 3850 or betterHard Drive:9 GB HD spaceSound:Standard audio deviceOther Requirements:Broadband Internet connection,5.98,PC
Sonic & All-Stars Racing Transformed,Minimum:OS: Windows XP Windows Vista Windows 7 Windows 8Processor: 2GHz Intel Core 2 Duo or equivalentMemory: 1GB Ram (Windows XP) 2GB Ram (Windows Vista Windows 7 Windows 8)Graphics: 256MB with Shader Model 3.0 supportDirectX(r): 9.0cHard Drive: 6.7GB free hard drive spaceSound: DirectX 9 Compatible,5.79,PC
Half-Life,Minimum: 500 mhz processor 96mb ram 16mb video card Windows XP Mouse Keyboard Internet ConnectionRecommended: 800 mhz processor 128mb ram 32mb+ video card Windows XP Mouse Keyboard Internet Connection,5.74,PC
Just Cause,Minimum: Microsoft Windows(r) 2000/XP. (Windows(r) 95/98/ME/NT not supported)Pentium IV 1.4GHz (or AMD AthlonXP 1700+ processor or higher).256MB System Memory.3D Hardware Accelerator Card Required - 100% DirectX(r) 9.0c compatible with 128 MB and Shader model 2.0. (GF FX 5700   or ATI 9500) 100% DirectX(r) 9.0c compatible 16-bit sound card and latest drivers4.0GB of uncompressed free disk space (plus 600MB for Windows(r) 2000/XP swap file)100% Windows(r) 2000/XP compatible mouse keyboard and latest drivers.Recommended: Pentium(r) IV 2.8GHz with Dual Core Technology (or Athlon 64 series).512MB System Memory.3D Hardware Accelerator Card Required - 100% DirectX(r) 9.0c compatible with 256 MB and Shader model 2.0. All nVidia(r) GeForce(tm) 7 series or higher.Sound Blaster(r) X-Fi series or higher.Optimal: Pentium(r) D Processor with Dual Core Technology (or Athlon 64 X2 series).1GB System Memory.All nVidia(r) GeForce(tm) 7800 series or higher.Sound Blaster(r) X-Fi series or higher.,5.55,PC
Max Payne,Minimum:OS: Microsoft(r) Windows(r) 2000/XP (only)Processor: 450MHz AMD / Intel ProcessorMemory: 96 MB RAM (128 MB RAM or greater recommended)Graphics: 16MB Direct3D Compatible Graphics CardDirectX Version: DirectX 8.0Hard Drive: 830 MB Hard Drive Space for full install 530 MB for minimum installSound Card: DirectSound compatible sound card,5.07,PC
Dead Space,Supported OS: Microsoft Windows(r) XP SP2 or Vista                    Processor: 2.8 GHz or faster                    Memory: 1 GB RAM or more for Windows XP (2 GB for Vista)                    Graphics: DirectX(r) 9.0c compatible video card Shader Model 3.0 required 256 MB or better NVIDIA GeForce 6800 or better (7300 7600 GS and 8500 are below minimum system requirements) ATI X1600 Pro or better (X1300 X1300 Pro and HD2400 are below minimum system requirements)                     Hard Drive: 7.5 GB free space                    Sound: DirectX(r) 9.0c compatible sound card                     INTERNET CONNECTION ONLINE AUTHENTICATION AND ACCEPTANCE OF END USER LICENSE AGREEMENT REQUIRED TO PLAY. EA MAY RETIRE ONLINE FEATURES AFTER 30 DAYS NOTICE POSTED ON WWW.EA.COM.,5.04,PC
Monopoly,Minimum:OS:Windows XP SP3/Vista/7Processor:1.4+GHzMemory:2+ GB RAMGraphics:256+MBDirectX®:9.0cHard Drive:1+ GB HD space,4.72,PC
Mini Ninjas,Minimum:                    OS: Windows XP and Vista                    Processor: PIV/Athlon 3.2ghz or higher processor                    Memory: 512MB system RAM (1GB Vista)                    Graphics: ATI Radeon X1300 or higher / Nvidia Geforce 6600 or higher (shader model 3 required) graphics card                    Hard Drive: 5.85GB free space                    Sound: DirectX 9 compatible sound card,4.5,PC
Street Fighter X Tekken,Minimum Requirements at 800x600 resolution @ 30FPS):OS: Windows XPProcessor: Intel Dual Core 1.8GHz (or higher) or AMD Athlon II X2 (or higher) Memory: 1GB (or higher)Hard Disk Space: 10GB of free space Video Card: nVidia GF6600 (or higher) or ATi X1600 (or higher) with 256MB of RAMDirectX(r): 9.0cSound: DirectSound compatible DirectX 9.0c (or higher) compatible        Other Requirements: Online play requires software installation of and log-in to Games For Windows - LIVE,4.47,PC
Titan Quest,Minimum: Windows(r) 2000 or XP 1.8 Ghz Intel Pentium IV or equivalent or AMD Athlon XP or equivalent  512 MB RAM 5 GB free hard drive space 64 MB NVIDIA GeForce 3 or equivalent or ATI Radeon 8500 series with Pixel Shader 1.1 support or equivalent DirectX(r) 9.0c compatible 16-bit sound card Keyboard MouseRecommended: Windows XP 3.0 Ghz Intel Pentium IV or equivalent 1 GB RAM 128 MB NVIDIA GeForce 6800 series or ATI Radeon X800 series or equivalent Soundblaster X-Fi series sound card,4.39,PC
Machinarium,OS: Microsoft(r) Windows(r) XP/Vista/7Processor: 1.8 Ghz ProcessorMemory: 1GB Ram Hard Drive: 380MB Free space,4.32,PC
Goodbye Deponia,Minimum:OS: Windows Vista/7/8Processor: 2.5 GHz Single Core Processor or 2 GHz Dual Core ProcessorMemory: 2 GB RAMGraphics: OpenGL 2.0 compatible with 256 MB RAM (Shared Memory is not recommended)Storage: 3 GB available spaceAdditional Notes: Mouse,4.16,PC
Goodbye Deponia,Minimum:OS: Windows Vista/7/8Processor: 2.5 GHz Single Core Processor or 2 GHz Dual Core ProcessorMemory: 2 GB RAMGraphics: OpenGL 2.0 compatible with 256 MB RAM (Shared Memory is not recommended)Storage: 3 GB available spaceAdditional Notes: Mouse,4.16,PC
Contrast,Minimum:OS: WINDOWS XP SP2/WINDOWS VISTA SP1/WINDOWS 7/WINDOWS 8Processor: AMD/INTEL DUAL-CORE 2.3 GHzMemory: 2 GB RAMGraphics: 512MB VRAM COMPATIBLE DIRECTX 9.0C AND SHADER MODEL 3.0 AMD RADEON X2600 XT/NVIDIA GEFORCE 7900 GTXDirectX: Version 9.0cStorage: 4 GB available spaceSound Card: DIRECTX 9 COMPATIBLEAdditional Notes: The Original Soundtrack and the Programme (Artwork Dev. Diary) will be placed in your CONTRAST folder in the Steam Directory: ...\Steam\SteamApps\common\Contrast\CONTRAST_Programme-OST,4.1,PC
Wildlife Park 3,Minimum:OS: 10/8/7/VISTA/2000/XPProcessor: 3 GHz Intel Pentium(r) D AMD Athlon(tm)64 3000+Memory: 1 GB RAMGraphics: NVIDIA GeForce 8600 GT ATI Radeon X1800 or better (min. 256 MB Video- RAM DirectX(r)9c Shadermodel 2.0)DirectX: Version 9.0c,4.0,PC
